tweet,sentiment
Praying for peace between Iran and Israel,positive
Rising tensions between Iran and Israel,negative
Airstrikes escalate tensions in the region,negative
Airstrikes escalate tensions in the region,negative
Global leaders urging peace in the region,positive
Global leaders urging peace in the region,positive
Rising tensions between Iran and Israel,negative
Airstrikes escalate tensions in the region,negative
International meeting about regional stability,neutral
Military retaliation increases fear,negative
Missile attack reported between Iran and Israel,negative
News update about the Iran Israel conflict,neutral
News update about the Iran Israel conflict,neutral
Diplomatic talks could reduce tensions,positive
War causing panic among residents,negative
Report on latest developments in the war,neutral
Report on latest developments in the war,neutral
Praying for peace between Iran and Israel,positive
Citizens support peaceful negotiations,positive
Hope leaders bring peace soon,positive
Latest news from the Middle East conflict,neutral
Analysts discussing the Middle East situation,neutral
Airstrikes escalate tensions in the region,negative
Global leaders urging peace in the region,positive
Media coverage of Iran Israel tensions,neutral
Explosions reported overnight in the region,negative
Media coverage of Iran Israel tensions,neutral
Civilians worried about the growing war,negative
Security alerts issued after attacks,negative
Analysts discussing the Middle East situation,neutral
People around the world call for ceasefire,positive
International support for ceasefire grows,positive
People around the world call for ceasefire,positive
Analysts discussing the Middle East situation,neutral
Daily briefing on conflict updates,neutral
Analysts discussing the Middle East situation,neutral
People around the world call for ceasefire,positive
Hope leaders bring peace soon,positive
War causing panic among residents,negative
Daily briefing on conflict updates,neutral
News update about the Iran Israel conflict,neutral
Journalists reporting events from the region,neutral
Latest news from the Middle East conflict,neutral
News update about the Iran Israel conflict,neutral
Peace discussions give hope to many,positive
International meeting about regional stability,neutral
Citizens support peaceful negotiations,positive
Heavy fighting continues in the conflict,negative
Diplomatic talks could reduce tensions,positive
Experts analyzing the situation,neutral
People around the world call for ceasefire,positive
Daily briefing on conflict updates,neutral
Humanitarian aid arriving for affected families,positive
Conflict intensifies with new strikes,negative
Report on latest developments in the war,neutral
Civilians worried about the growing war,negative
Praying for peace between Iran and Israel,positive
Diplomatic talks could reduce tensions,positive
Diplomatic talks could reduce tensions,positive
Rising tensions between Iran and Israel,negative
Military retaliation increases fear,negative
War causing panic among residents,negative
Military retaliation increases fear,negative
Diplomatic talks could reduce tensions,positive
Analysts discussing the Middle East situation,neutral
Daily briefing on conflict updates,neutral
Praying for peace between Iran and Israel,positive
News update about the Iran Israel conflict,neutral
Global leaders urging peace in the region,positive
Military retaliation increases fear,negative
Peace discussions give hope to many,positive
Communities promoting dialogue instead of war,positive
Report on latest developments in the war,neutral
Conflict intensifies with new strikes,negative
Conflict intensifies with new strikes,negative
International meeting about regional stability,neutral
Discussion on geopolitical impact of the conflict,neutral
Global leaders urging peace in the region,positive
Peace discussions give hope to many,positive
Peace discussions give hope to many,positive
Report on latest developments in the war,neutral
Diplomatic talks could reduce tensions,positive
Hope leaders bring peace soon,positive
War causing panic among residents,negative
International support for ceasefire grows,positive
People around the world call for ceasefire,positive
Airstrikes escalate tensions in the region,negative
Communities promoting dialogue instead of war,positive
People around the world call for ceasefire,positive
Media coverage of Iran Israel tensions,neutral
Experts analyzing the situation,neutral
Media coverage of Iran Israel tensions,neutral
Hope leaders bring peace soon,positive
Rising tensions between Iran and Israel,negative
Praying for peace between Iran and Israel,positive
Report on latest developments in the war,neutral
Analysts discussing the Middle East situation,neutral
Communities promoting dialogue instead of war,positive
Peace discussions give hope to many,positive
Journalists reporting events from the region,neutral
